(213)x:5.216755, y:10.554196, z:0.550000
(214)x:5.211322, y:10.544139, z:0.560000
(215)x:5.204517, y:10.531370, z:0.610000
(216)x:5.199266, y:10.521422, z:0.622500
(217)x:5.192194, y:10.508888, z:0.567500
(218)x:5.185158, y:10.496554, z:0.562500
(219)x:5.172513, y:10.474712, z:0.732500
(220)x:5.167153, y:10.465476, z:0.567500
(221)x:5.159786, y:10.453233, z:0.615000
(222)x:5.154404, y:10.444437, z:0.620000
(223)x:5.146957, y:10.432324, z:0.635000
(224)x:5.139476, y:10.420474, z:0.647500
(225)x:5.134102, y:10.411570, z:0.715000
(226)x:5.126504, y:10.399785, z:0.702500
(227)x:5.121168, y:10.391250, z:0.760000
(228)x:5.113467, y:10.379486, z:0.782500
(229)x:5.108072, y:10.371545, z:0.760000
(230)x:5.100210, y:10.359962, z:0.697500
(231)x:5.092521, y:10.348258, z:0.715000
(232)x:5.087175, y:10.340006, z:0.732500
(233)x:5.079293, y:10.328465, z:0.727500
(234)x:5.074008, y:10.320377, z:0.737500
(235)x:5.066012, y:10.308923, z:0.857500
(236)x:5.058276, y:10.297507, z:0.890000
(237)x:5.052852, y:10.289226, z:0.767500
(238)x:5.045110, y:10.277511, z:0.737500
(239)x:5.039710, y:10.269335, z:0.742500
(240)x:5.031951, y:10.257565, z:0.795000
(241)x:5.026509, y:10.249592, z:0.800000
(242)x:5.018700, y:10.237803, z:0.785000
(243)x:5.011081, y:10.226158, z:0.787500
(244)x:5.005637, y:10.217485, z:0.787500
(245)x:4.997943, y:10.205988, z:0.815000
(246)x:4.992553, y:10.197147, z:0.805000
(247)x:4.984969, y:10.185341, z:0.805000
(248)x:4.977483, y:10.173382, z:0.800000
(249)x:4.971958, y:10.164557, z:0.805000
(250)x:4.964543, y:10.152531, z:0.847500
(251)x:4.959119, y:10.143328, z:0.860000
(252)x:4.951598, y:10.131512, z:0.892500
(253)x:4.946253, y:10.122158, z:0.892500
(254)x:4.939024, y:10.109700, z:0.982500
(255)x:4.933569, y:10.100607, z:0.982500
(256)x:4.926389, y:10.087858, z:0.970000
(257)x:4.919300, y:10.075672, z:0.957500
(258)x:4.913824, y:10.065724, z:0.962500
(259)x:4.906866, y:10.053329, z:0.962500
(260)x:4.901537, y:10.042755, z:0.967500
(261)x:4.894560, y:10.030285, z:0.977500
(262)x:4.889225, y:10.020244, z:0.985000
(263)x:4.882294, y:10.007583, z:0.985000
(264)x:4.877013, y:9.997589, z:0.997500
(265)x:4.870064, y:9.984504, z:0.992500
(266)x:4.863248, y:9.971919, z:0.997500
(267)x:4.857847, y:9.961244, z:1.030000
(268)x:4.850947, y:9.949031, z:1.012500
(269)x:4.845428, y:9.938994, z:1.017500
(270)x:4.838454, y:9.926683, z:1.010000
(271)x:4.833050, y:9.916568, z:1.007500
(272)x:4.826069, y:9.904057, z:0.955000
(273)x:4.820655, y:9.894347, z:0.992500
(274)x:4.813554, y:9.881900, z:0.992500
(275)x:4.806515, y:9.869974, z:0.997500
(276)x:4.800869, y:9.860240, z:1.057500
(277)x:4.793720, y:9.848277, z:1.072500
(278)x:4.780974, y:9.826690, z:1.417500
(279)x:4.775463, y:9.817323, z:1.187500
(280)x:4.768205, y:9.805250, z:1.027500
(281)x:4.762845, y:9.795728, z:1.067500
(282)x:4.755749, y:9.783052, z:1.072500
(283)x:4.748575, y:9.771056, z:1.080000
(284)x:4.723068, y:9.728062, z:1.130000
(285)x:4.710309, y:9.706496, z:1.122500
(286)x:4.703118, y:9.694315, z:1.125000
(287)x:4.685103, y:9.663160, z:1.210000
(288)x:4.665078, y:9.629663, z:1.700000
(289)x:4.657699, y:9.617437, z:1.667500
(290)x:4.652301, y:9.608277, z:1.257500
(291)x:4.644970, y:9.596154, z:1.255000
(292)x:4.619601, y:9.553212, z:1.275000
(293)x:4.613997, y:9.543472, z:1.562500
(294)x:4.606931, y:9.531519, z:1.410000
(295)x:4.599512, y:9.519703, z:1.425000
(296)x:4.594037, y:9.510361, z:1.365000
(297)x:4.586697, y:9.498594, z:1.370000
(298)x:4.581171, y:9.489053, z:1.400000
(299)x:4.573894, y:9.477384, z:1.422500
(300)x:4.568287, y:9.467689, z:1.452500
(301)x:4.561065, y:9.456140, z:1.445000
(302)x:4.553658, y:9.444366, z:1.450000
(303)x:4.548191, y:9.434953, z:1.377500
(304)x:4.540842, y:9.423215, z:1.352500
(305)x:4.535336, y:9.413695, z:1.380000
(306)x:4.527975, y:9.402187, z:1.510000
(307)x:4.522219, y:9.393250, z:1.520000
(308)x:4.514832, y:9.381916, z:1.487500
(309)x:4.507298, y:9.370349, z:1.497500
(310)x:4.501825, y:9.361290, z:1.510000
(311)x:4.494282, y:9.349922, z:1.430000
(312)x:4.488642, y:9.341415, z:1.585000
(313)x:4.481059, y:9.330017, z:1.487500
